@relation sheet1

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { standing,sitting,lying,walking }


@data
-0.93,0.11,0.1,0.931128348,0.114017543,0.1,0.045825757,0.03,0,0.042,0.018,0,standing
-0.958,0.104,0.1,0.959270556,0.105830052,0.1,0.049355851,0.019595918,0,0.04872,0.00768,0,standing
-0.744,-0.37,0.002,0.761051904,0.468828327,0.014142136,0.160199875,0.287923601,0.014,0.13744,0.262,0.00392,standing
-0.974,0.036,0,0.974987179,0.06,0,0.043863424,0.048,0,0.03848,0.04608,0,standing
-0.964,0.084,0,0.965194281,0.091651514,0,0.048,0.036660606,0,0.04608,0.02688,0,standing
-0.964,0.098,0,0.965194281,0.098994949,0,0.048,0.014,0,0.04608,0.00392,0,standing
-0.964,0.1,0,0.965194281,0.1,0,0.048,0,0,0.04608,0,0,standing
-0.894,-0.262,-0.01,0.895209473,0.269443872,0.031622777,0.046518813,0.062896741,0.03,0.02632,0.05608,0.018,sitting
-0.97,-0.114,0.004,0.975602378,0.12083046,0.02,0.104403065,0.040049969,0.019595918,0.076,0.02752,0.00768,sitting
-0.936,-0.008,0.016,0.938935568,0.028284271,0.052915026,0.074188948,0.02712932,0.050438081,0.0632,0.01472,0.03696,sitting
-0.954,-0.072,0.076,0.959479025,0.087177979,0.1,0.102391406,0.049152823,0.064992307,0.08048,0.0432,0.05264,sitting
-0.946,-0.006,-0.054,0.948367018,0.024494897,0.092736185,0.066962676,0.023748684,0.075392307,0.06016,0.01128,0.06536,sitting
-0.9,-0.3,-0.002,0.9,0.3,0.014142136,0,0,0.014,0,0,0.00392,sitting
-0.9,-0.3,-0.004,0.9,0.3,0.02,0,0,0.019595918,0,0,0.00768,sitting
-0.9,-0.28,-0.008,0.9,0.282842712,0.028284271,0,0.04,0.02712932,0,0.032,0.01472,sitting
-0.9,-0.282,0,0.9,0.284604989,0,0,0.038418745,0,0,0.02952,0,sitting
-0.896,-0.29,-0.002,0.896437393,0.291547595,0.014142136,0.028,0.03,0.014,0.00784,0.018,0.00392,sitting
-0.95,-0.002,-0.004,0.95131488,0.014142136,0.02,0.05,0.014,0.019595918,0.05,0.00392,0.00768,sitting
-0.952,0,-0.014,0.953310023,0,0.037416574,0.049959984,0,0.034698703,0.04992,0,0.02408,sitting
-0.952,-0.008,-0.038,0.953310023,0.028284271,0.06164414,0.049959984,0.02712932,0.048538644,0.04992,0.01472,0.04712,sitting
-0.958,-0.01,-0.054,0.959270556,0.031622777,0.073484692,0.049355851,0.03,0.049839743,0.04872,0.018,0.04968,sitting
-0.978,-0.016,-0.046,0.978876907,0.04,0.0678233,0.04142463,0.036660606,0.049839743,0.03432,0.02688,0.04968,sitting
-0.938,0.2,0.066,0.939255024,0.2,0.081240384,0.048538644,0,0.047370877,0.04712,0,0.04488,sitting
-0.922,0.2,0.06,0.922930117,0.2,0.077459667,0.04142463,0,0.048989795,0.03432,0,0.048,sitting
-0.92,0.2,0.076,0.920869155,0.2,0.087177979,0.04,0,0.042708313,0.032,0,0.03648,sitting
-0.91,0.2,0.1,0.910494371,0.2,0.1,0.03,0,0,0.018,0,0,sitting
-0.912,0.226,0.1,0.914111591,0.230217289,0.1,0.062096699,0.043863424,0,0.04576,0.03848,0,sitting
-0.798,-0.49,0.1,0.798122798,0.490917508,0.1,0.014,0.03,0,0.00392,0.018,0,sitting
-0.8,-0.484,0.108,0.8,0.485386444,0.111355287,0,0.036660606,0.02712932,0,0.02688,0.01472,sitting
-0.8,-0.476,0.1,0.8,0.477912126,0.1,0,0.042708313,0,0,0.03648,0,sitting
-0.8,-0.48,0.1,0.8,0.481663783,0.1,0,0.04,0,0,0.032,0,sitting
-0.798,-0.498,0.106,0.798122798,0.498196748,0.108627805,0.014,0.014,0.023748684,0.00392,0.00392,0.01128,sitting
0,0.594,0.704,0,0.595482997,0.707954801,0,0.042,0.074726167,0,0.02256,0.04656,lying
0,0.584,0.702,0,0.585149554,0.702139587,0,0.036660606,0.014,0,0.02688,0.00392,lying
0,0.596,0.7,0,0.596322061,0.7,0,0.019595918,0,0,0.00768,0,lying
0,0.596,0.7,0,0.596322061,0.7,0,0.019595918,0,0,0.00768,0,lying
0,0.598,0.7,0,0.598163857,0.7,0,0.014,0,0,0.00392,0,lying
0.092,0.768,0.5,0.09591663,0.769415362,0.5,0.02712932,0.046647615,0,0.01472,0.04352,0,lying
0.092,0.764,0.5,0.09591663,0.765506368,0.5,0.02712932,0.048,0,0.01472,0.04608,0,lying
0.1,0.78,0.498,0.1,0.781024968,0.498196748,0,0.04,0.014,0,0.032,0.00392,lying
0.098,0.782,0.492,0.098994949,0.782943165,0.4927474,0.014,0.038418745,0.02712932,0.00392,0.02952,0.01472,lying
0.1,0.788,0.496,0.1,0.788669766,0.496386946,0,0.032496154,0.019595918,0,0.02112,0.00768,lying
0.216,0.792,0.402,0.219089023,0.793725393,0.404227659,0.036660606,0.052306787,0.04237924,0.02688,0.03312,0.0196,lying
0.206,0.75,0.474,0.207364414,0.751664819,0.47644517,0.023748684,0.05,0.048207883,0.01128,0.05,0.03952,lying
0.206,0.718,0.5,0.207364414,0.71902712,0.5,0.023748684,0.038418745,0,0.01128,0.02952,0,lying
0.218,0.768,0.492,0.221359436,0.769415362,0.4927474,0.038418745,0.046647615,0.02712932,0.02952,0.04352,0.01472,lying
0.202,0.764,0.47,0.202484567,0.765506368,0.472228758,0.014,0.048,0.045825757,0.00392,0.04608,0.042,lying
0.272,0.6,0.6,0.275680975,0.6,0.6,0.044899889,0,0,0.04032,0,0,lying
0.288,0.604,0.594,0.289827535,0.604317797,0.595147041,0.032496154,0.019595918,0.036932371,0.02112,0.00768,0.0188,lying
0.294,0.6,0.588,0.294957624,0.6,0.588897275,0.023748684,0,0.032496154,0.01128,0,0.02112,lying
0.296,0.6,0.596,0.296647939,0.6,0.596322061,0.019595918,0,0.019595918,0.00768,0,0.00768,lying
0.278,0.604,0.594,0.281780056,0.604648658,0.594474558,0.046,0.028,0.023748684,0.0352,0.01152,0.01128,lying
0.12,0.894,0.31,0.153622915,0.894986033,0.31144823,0.09591663,0.042,0.03,0.072,0.02256,0.018,lying
0.09,0.89,0.268,0.119163753,0.890505474,0.274226184,0.078102497,0.03,0.058103356,0.0648,0.018,0.05024,lying
0.108,0.892,0.304,0.13114877,0.892412461,0.307896086,0.074404301,0.02712932,0.048826222,0.05552,0.01472,0.02688,lying
0.18,0.878,0.304,0.184390889,0.878976678,0.304630924,0.04,0.04142463,0.019595918,0.032,0.03432,0.00768,lying
0.188,0.836,0.324,0.192873015,0.837854403,0.326802693,0.043081318,0.055713553,0.042708313,0.02512,0.05008,0.03648,lying
-0.914,0.076,0.094,0.914658406,0.087177979,0.096953597,0.034698703,0.042708313,0.023748684,0.02408,0.03648,0.01128,walking
-0.95,0.006,0.094,0.95131488,0.024494897,0.096953597,0.05,0.023748684,0.023748684,0.05,0.01128,0.01128,walking
-0.924,0.07,0.09,0.924986486,0.083666003,0.09486833,0.042708313,0.045825757,0.03,0.03648,0.042,0.018,walking
-0.966,0.044,0.072,0.973755616,0.077459667,0.12328828,0.122653985,0.06374951,0.100079968,0.10064,0.05728,0.0752,walking
-0.922,0.046,0.05,0.928977933,0.078740079,0.076157731,0.113648581,0.063906181,0.057445626,0.0868,0.05736,0.054,walking
-0.936,-0.014,0.044,0.937229961,0.050990195,0.066332496,0.048,0.049030603,0.049638695,0.04608,0.0344,0.04928,walking
-0.93,-0.022,0.106,0.931557835,0.046904158,0.122474487,0.053851648,0.04142463,0.061351447,0.0444,0.03432,0.04136,walking
-0.938,-0.018,0.056,0.942231394,0.046904158,0.074833148,0.089196412,0.043312816,0.049638695,0.07168,0.0328,0.04928,walking
-0.926,-0.042,0.106,0.92962358,0.0678233,0.124096736,0.082,0.053254108,0.064529063,0.05848,0.0504,0.04512,walking
-0.948,-0.036,0.084,0.953729521,0.072111026,0.091651514,0.104383907,0.062481997,0.036660606,0.08384,0.05184,0.02688,walking
-0.98,-0.068,0.058,0.993176721,0.103923048,0.115758369,0.161245155,0.078587531,0.100179838,0.1296,0.07072,0.07672,walking
-0.962,-0.124,0.016,0.974987179,0.138564065,0.114891253,0.158606431,0.061838499,0.113771701,0.11648,0.05168,0.09472,walking
-0.964,-0.094,0.038,0.975909832,0.122474487,0.0678233,0.152,0.078511146,0.056178288,0.10432,0.06016,0.05112,walking
-0.968,-0.088,0.032,0.974063653,0.116619038,0.087177979,0.10851728,0.076524506,0.08109254,0.09472,0.06336,0.06368,walking
-0.992,-0.128,0.094,1.00895986,0.145602198,0.125698051,0.184217263,0.069397406,0.083450584,0.14928,0.05696,0.0536,walking
-0.942,0.028,0,0.943292107,0.052915026,0,0.049355851,0.044899889,0,0.04872,0.04032,0,walking
-0.918,0.064,0.006,0.91880357,0.08,0.024494897,0.038418745,0.048,0.023748684,0.02952,0.04608,0.01128,walking
-0.94,0.034,-0.044,0.949736806,0.0678233,0.09591663,0.1356466,0.058685603,0.085229103,0.096,0.0528,0.07056,walking
-0.958,0.06,-0.046,0.981121807,0.093808315,0.081240384,0.21174513,0.072111026,0.066962676,0.16896,0.0632,0.0592,walking
-0.962,0.034,-0.024,0.970875893,0.081240384,0.052915026,0.130980915,0.073783467,0.047159304,0.09744,0.06344,0.03744,walking
-0.942,0.008,0,0.943292107,0.028284271,0,0.049355851,0.02712932,0,0.04872,0.01472,0,walking
-0.924,0.048,0,0.924986486,0.069282032,0,0.042708313,0.049959984,0,0.03648,0.04992,0,walking
-0.944,0.066,0,0.946361453,0.081240384,0,0.066813172,0.047370877,0,0.05856,0.04488,0,walking
-0.956,0.004,0.064,0.958749185,0.04472136,0.08,0.072553429,0.044542115,0.048,0.064,0.02304,0.04608,walking
-0.972,0.008,0.03,0.979591752,0.072111026,0.058309519,0.121720992,0.071665891,0.05,0.09088,0.04848,0.0432,walking
-0.954,0.058,0.1,0.955301,0.076157731,0.1,0.049839743,0.049355851,0,0.04968,0.04872,0,standing
-0.968,0.022,0.1,0.969123315,0.046904158,0.1,0.046647615,0.04142463,0,0.04352,0.03432,0,standing
-0.968,0.034,0.098,0.969123315,0.058309519,0.098994949,0.046647615,0.047370877,0.014,0.04352,0.04488,0.00392,standing
-0.98,0.052,0.1,0.980815987,0.072111026,0.1,0.04,0.049959984,0,0.032,0.04992,0,standing
-0.976,0.04,0.098,0.976933979,0.063245553,0.098994949,0.042708313,0.048989795,0.014,0.03648,0.048,0.00392,standing
-0.964,-0.008,0.074,0.965194281,0.028284271,0.086023253,0.048,0.02712932,0.043863424,0.04608,0.01472,0.03848,standing
-0.972,-0.004,0.1,0.973036484,0.02,0.1,0.044899889,0.019595918,0,0.04032,0.00768,0,standing
-0.976,-0.018,0.1,0.976933979,0.042426407,0.1,0.042708313,0.038418745,0,0.03648,0.02952,0,standing
-0.976,-0.008,0.096,0.976933979,0.028284271,0.09797959,0.042708313,0.02712932,0.019595918,0.03648,0.01472,0.00768,standing
-0.974,-0.008,0.086,0.974987179,0.028284271,0.092736185,0.043863424,0.02712932,0.034698703,0.03848,0.01472,0.02408,standing
-0.912,0.096,-0.044,0.912578764,0.09797959,0.066332496,0.032496154,0.019595918,0.049638695,0.02112,0.00768,0.04928,standing
-0.904,0.092,-0.054,0.904212364,0.09591663,0.073484692,0.019595918,0.02712932,0.049839743,0.00768,0.01472,0.04968,standing
-0.91,0.098,0.022,0.910494371,0.098994949,0.046904158,0.03,0.014,0.04142463,0.018,0.00392,0.03432,standing
-0.9,0.112,0,0.9,0.116619038,0,0,0.032496154,0,0,0.02112,0,standing
-0.9,0.108,0,0.9,0.111355287,0,0,0.02712932,0,0,0.01472,0,standing
-0.948,0.124,0.1,0.949315543,0.13114877,0.1,0.049959984,0.042708313,0,0.04992,0.03648,0,standing
-0.944,0.1,0.104,0.945304184,0.103923048,0.105830052,0.049638695,0.028284271,0.019595918,0.04928,0.008,0.00768,standing
-0.932,0.114,0.1,0.933166652,0.119163753,0.1,0.046647615,0.034698703,0,0.04352,0.02408,0,standing
-0.93,0.11,0.1,0.931128348,0.114017543,0.1,0.045825757,0.03,0,0.042,0.018,0,standing
-0.958,0.104,0.1,0.959270556,0.105830052,0.1,0.049355851,0.019595918,0,0.04872,0.00768,0,standing
-0.744,-0.37,0.002,0.761051904,0.468828327,0.014142136,0.160199875,0.287923601,0.014,0.13744,0.262,0.00392,standing
-0.974,0.036,0,0.974987179,0.06,0,0.043863424,0.048,0,0.03848,0.04608,0,standing
-0.964,0.084,0,0.965194281,0.091651514,0,0.048,0.036660606,0,0.04608,0.02688,0,standing
-0.964,0.098,0,0.965194281,0.098994949,0,0.048,0.014,0,0.04608,0.00392,0,standing
-0.964,0.1,0,0.965194281,0.1,0,0.048,0,0,0.04608,0,0,standing
-0.894,-0.262,-0.01,0.895209473,0.269443872,0.031622777,0.046518813,0.062896741,0.03,0.02632,0.05608,0.018,sitting
-0.97,-0.114,0.004,0.975602378,0.12083046,0.02,0.104403065,0.040049969,0.019595918,0.076,0.02752,0.00768,sitting
-0.936,-0.008,0.016,0.938935568,0.028284271,0.052915026,0.074188948,0.02712932,0.050438081,0.0632,0.01472,0.03696,sitting
-0.954,-0.072,0.076,0.959479025,0.087177979,0.1,0.102391406,0.049152823,0.064992307,0.08048,0.0432,0.05264,sitting
-0.946,-0.006,-0.054,0.948367018,0.024494897,0.092736185,0.066962676,0.023748684,0.075392307,0.06016,0.01128,0.06536,sitting
-0.976,0,0.002,0.976933979,0,0.014142136,0.042708313,0,0.014,0.03648,0,0.00392,sitting
-0.984,0,0.014,0.98468269,0,0.037416574,0.036660606,0,0.034698703,0.02688,0,0.02408,sitting
-0.962,0,0.084,0.963223754,0,0.091651514,0.048538644,0,0.036660606,0.04712,0,0.02688,sitting
-0.962,0,0.1,0.963223754,0,0.1,0.048538644,0,0,0.04712,0,0,sitting
-0.974,0,0.084,0.974987179,0,0.091651514,0.043863424,0,0.036660606,0.03848,0,0.02688,sitting
-0.9,-0.3,-0.002,0.9,0.3,0.014142136,0,0,0.014,0,0,0.00392,sitting
-0.9,-0.3,-0.004,0.9,0.3,0.02,0,0,0.019595918,0,0,0.00768,sitting
-0.9,-0.28,-0.008,0.9,0.282842712,0.028284271,0,0.04,0.02712932,0,0.032,0.01472,sitting
-0.9,-0.282,0,0.9,0.284604989,0,0,0.038418745,0,0,0.02952,0,sitting
-0.896,-0.29,-0.002,0.896437393,0.291547595,0.014142136,0.028,0.03,0.014,0.00784,0.018,0.00392,sitting
-0.938,0.2,0.066,0.939255024,0.2,0.081240384,0.048538644,0,0.047370877,0.04712,0,0.04488,sitting
-0.922,0.2,0.06,0.922930117,0.2,0.077459667,0.04142463,0,0.048989795,0.03432,0,0.048,sitting
-0.92,0.2,0.076,0.920869155,0.2,0.087177979,0.04,0,0.042708313,0.032,0,0.03648,sitting
-0.91,0.2,0.1,0.910494371,0.2,0.1,0.03,0,0,0.018,0,0,sitting
-0.912,0.226,0.1,0.914111591,0.230217289,0.1,0.062096699,0.043863424,0,0.04576,0.03848,0,sitting
-0.798,-0.49,0.1,0.798122798,0.490917508,0.1,0.014,0.03,0,0.00392,0.018,0,sitting
-0.8,-0.484,0.108,0.8,0.485386444,0.111355287,0,0.036660606,0.02712932,0,0.02688,0.01472,sitting
-0.8,-0.476,0.1,0.8,0.477912126,0.1,0,0.042708313,0,0,0.03648,0,sitting
-0.8,-0.48,0.1,0.8,0.481663783,0.1,0,0.04,0,0,0.032,0,sitting
-0.798,-0.498,0.106,0.798122798,0.498196748,0.108627805,0.014,0.014,0.023748684,0.00392,0.00392,0.01128,sitting
0,0.594,0.704,0,0.595482997,0.707954801,0,0.042,0.074726167,0,0.02256,0.04656,lying
0,0.584,0.702,0,0.585149554,0.702139587,0,0.036660606,0.014,0,0.02688,0.00392,lying
0,0.596,0.7,0,0.596322061,0.7,0,0.019595918,0,0,0.00768,0,lying
0,0.596,0.7,0,0.596322061,0.7,0,0.019595918,0,0,0.00768,0,lying
0,0.598,0.7,0,0.598163857,0.7,0,0.014,0,0,0.00392,0,lying
0,0.5,0.786,0,0.5,0.786765531,0,0,0.034698703,0,0,0.02408,lying
0,0.5,0.782,0,0.5,0.782943165,0,0,0.038418745,0,0,0.02952,lying
0,0.5,0.796,0,0.5,0.79649231,0,0,0.028,0,0,0.01152,lying
0.02,0.498,0.788,0.052915026,0.498196748,0.789683481,0.048989795,0.014,0.051536395,0.0336,0.00392,0.0352,lying
0,0.5,0.796,0,0.5,0.796241169,0,0,0.019595918,0,0,0.00768,lying
0.092,0.768,0.5,0.09591663,0.769415362,0.5,0.02712932,0.046647615,0,0.01472,0.04352,0,lying
0.092,0.764,0.5,0.09591663,0.765506368,0.5,0.02712932,0.048,0,0.01472,0.04608,0,lying
0.1,0.78,0.498,0.1,0.781024968,0.498196748,0,0.04,0.014,0,0.032,0.00392,lying
0.098,0.782,0.492,0.098994949,0.782943165,0.4927474,0.014,0.038418745,0.02712932,0.00392,0.02952,0.01472,lying
0.1,0.788,0.496,0.1,0.788669766,0.496386946,0,0.032496154,0.019595918,0,0.02112,0.00768,lying
0.272,0.6,0.6,0.275680975,0.6,0.6,0.044899889,0,0,0.04032,0,0,lying
0.288,0.604,0.594,0.289827535,0.604317797,0.595147041,0.032496154,0.019595918,0.036932371,0.02112,0.00768,0.0188,lying
0.294,0.6,0.588,0.294957624,0.6,0.588897275,0.023748684,0,0.032496154,0.01128,0,0.02112,lying
0.296,0.6,0.596,0.296647939,0.6,0.596322061,0.019595918,0,0.019595918,0.00768,0,0.00768,lying
0.278,0.604,0.594,0.281780056,0.604648658,0.594474558,0.046,0.028,0.023748684,0.0352,0.01152,0.01128,lying
0.12,0.894,0.31,0.153622915,0.894986033,0.31144823,0.09591663,0.042,0.03,0.072,0.02256,0.018,lying
0.09,0.89,0.268,0.119163753,0.890505474,0.274226184,0.078102497,0.03,0.058103356,0.0648,0.018,0.05024,lying
0.108,0.892,0.304,0.13114877,0.892412461,0.307896086,0.074404301,0.02712932,0.048826222,0.05552,0.01472,0.02688,lying
0.18,0.878,0.304,0.184390889,0.878976678,0.304630924,0.04,0.04142463,0.019595918,0.032,0.03432,0.00768,lying
0.188,0.836,0.324,0.192873015,0.837854403,0.326802693,0.043081318,0.055713553,0.042708313,0.02512,0.05008,0.03648,lying
-0.914,0.076,0.094,0.914658406,0.087177979,0.096953597,0.034698703,0.042708313,0.023748684,0.02408,0.03648,0.01128,walking
-0.95,0.006,0.094,0.95131488,0.024494897,0.096953597,0.05,0.023748684,0.023748684,0.05,0.01128,0.01128,walking
-0.924,0.07,0.09,0.924986486,0.083666003,0.09486833,0.042708313,0.045825757,0.03,0.03648,0.042,0.018,walking
-0.966,0.044,0.072,0.973755616,0.077459667,0.12328828,0.122653985,0.06374951,0.100079968,0.10064,0.05728,0.0752,walking
-0.922,0.046,0.05,0.928977933,0.078740079,0.076157731,0.113648581,0.063906181,0.057445626,0.0868,0.05736,0.054,walking
-0.976,-0.054,0.028,0.992370898,0.088317609,0.10198039,0.179510445,0.069885621,0.098061205,0.14592,0.06264,0.06912,walking
-0.94,-0.036,0.024,0.964365076,0.089442719,0.08,0.215406592,0.081877958,0.076315136,0.1816,0.06864,0.0608,walking
-0.988,-0.034,0.026,1.018233765,0.090553851,0.092736185,0.246284388,0.083928541,0.089016852,0.20752,0.0676,0.06632,walking
-0.962,-0.02,0.06,0.978876907,0.066332496,0.08,0.180986187,0.063245553,0.052915026,0.13096,0.0488,0.0504,walking
-0.966,-0.064,0.066,0.974782027,0.089442719,0.104880885,0.130552671,0.062481997,0.081510735,0.10336,0.05632,0.0688,walking
-0.936,-0.014,0.044,0.937229961,0.050990195,0.066332496,0.048,0.049030603,0.049638695,0.04608,0.0344,0.04928,walking
-0.93,-0.022,0.106,0.931557835,0.046904158,0.122474487,0.053851648,0.04142463,0.061351447,0.0444,0.03432,0.04136,walking
-0.938,-0.018,0.056,0.942231394,0.046904158,0.074833148,0.089196412,0.043312816,0.049638695,0.07168,0.0328,0.04928,walking
-0.926,-0.042,0.106,0.92962358,0.0678233,0.124096736,0.082,0.053254108,0.064529063,0.05848,0.0504,0.04512,walking
-0.948,-0.036,0.084,0.953729521,0.072111026,0.091651514,0.104383907,0.062481997,0.036660606,0.08384,0.05184,0.02688,walking
-0.942,0.028,0,0.943292107,0.052915026,0,0.049355851,0.044899889,0,0.04872,0.04032,0,walking
-0.918,0.064,0.006,0.91880357,0.08,0.024494897,0.038418745,0.048,0.023748684,0.02952,0.04608,0.01128,walking
-0.94,0.034,-0.044,0.949736806,0.0678233,0.09591663,0.1356466,0.058685603,0.085229103,0.096,0.0528,0.07056,walking
-0.958,0.06,-0.046,0.981121807,0.093808315,0.081240384,0.21174513,0.072111026,0.066962676,0.16896,0.0632,0.0592,walking
-0.962,0.034,-0.024,0.970875893,0.081240384,0.052915026,0.130980915,0.073783467,0.047159304,0.09744,0.06344,0.03744,walking
-0.942,0.008,0,0.943292107,0.028284271,0,0.049355851,0.02712932,0,0.04872,0.01472,0,walking
-0.924,0.048,0,0.924986486,0.069282032,0,0.042708313,0.049959984,0,0.03648,0.04992,0,walking
-0.944,0.066,0,0.946361453,0.081240384,0,0.066813172,0.047370877,0,0.05856,0.04488,0,walking
-0.956,0.004,0.064,0.958749185,0.04472136,0.08,0.072553429,0.044542115,0.048,0.064,0.02304,0.04608,walking
-0.972,0.008,0.03,0.979591752,0.072111026,0.058309519,0.121720992,0.071665891,0.05,0.09088,0.04848,0.0432,walking
-0.954,0.058,0.1,0.955301,0.076157731,0.1,0.049839743,0.049355851,0,0.04968,0.04872,0,standing
-0.968,0.022,0.1,0.969123315,0.046904158,0.1,0.046647615,0.04142463,0,0.04352,0.03432,0,standing
-0.968,0.034,0.098,0.969123315,0.058309519,0.098994949,0.046647615,0.047370877,0.014,0.04352,0.04488,0.00392,standing
-0.98,0.052,0.1,0.980815987,0.072111026,0.1,0.04,0.049959984,0,0.032,0.04992,0,standing
-0.976,0.04,0.098,0.976933979,0.063245553,0.098994949,0.042708313,0.048989795,0.014,0.03648,0.048,0.00392,standing
-0.964,-0.008,0.074,0.965194281,0.028284271,0.086023253,0.048,0.02712932,0.043863424,0.04608,0.01472,0.03848,standing
-0.972,-0.004,0.1,0.973036484,0.02,0.1,0.044899889,0.019595918,0,0.04032,0.00768,0,standing
-0.976,-0.018,0.1,0.976933979,0.042426407,0.1,0.042708313,0.038418745,0,0.03648,0.02952,0,standing
-0.976,-0.008,0.096,0.976933979,0.028284271,0.09797959,0.042708313,0.02712932,0.019595918,0.03648,0.01472,0.00768,standing
-0.974,-0.008,0.086,0.974987179,0.028284271,0.092736185,0.043863424,0.02712932,0.034698703,0.03848,0.01472,0.02408,standing
-0.954,0.112,0.074,0.955301,0.116619038,0.086023253,0.049839743,0.032496154,0.043863424,0.04968,0.02112,0.03848,standing
-0.938,0.112,0.08,0.939255024,0.116619038,0.089442719,0.048538644,0.032496154,0.04,0.04712,0.02112,0.032,standing
-0.944,0.118,0.064,0.945304184,0.124096736,0.08,0.049638695,0.038418745,0.048,0.04928,0.02952,0.04608,standing
-0.954,0.116,0.074,0.955301,0.121655251,0.086023253,0.049839743,0.036660606,0.043863424,0.04968,0.02688,0.03848,standing
-0.948,0.1,0.094,0.949315543,0.10198039,0.096953597,0.049959984,0.02,0.023748684,0.04992,0.004,0.01128,standing
-0.948,0.124,0.1,0.949315543,0.13114877,0.1,0.049959984,0.042708313,0,0.04992,0.03648,0,standing
-0.944,0.1,0.104,0.945304184,0.103923048,0.105830052,0.049638695,0.028284271,0.019595918,0.04928,0.008,0.00768,standing
-0.932,0.114,0.1,0.933166652,0.119163753,0.1,0.046647615,0.034698703,0,0.04352,0.02408,0,standing
-0.93,0.11,0.1,0.931128348,0.114017543,0.1,0.045825757,0.03,0,0.042,0.018,0,standing
-0.958,0.104,0.1,0.959270556,0.105830052,0.1,0.049355851,0.019595918,0,0.04872,0.00768,0,standing
-0.912,0.096,-0.044,0.912578764,0.09797959,0.066332496,0.032496154,0.019595918,0.049638695,0.02112,0.00768,0.04928,standing
-0.904,0.092,-0.054,0.904212364,0.09591663,0.073484692,0.019595918,0.02712932,0.049839743,0.00768,0.01472,0.04968,standing
-0.91,0.098,0.022,0.910494371,0.098994949,0.046904158,0.03,0.014,0.04142463,0.018,0.00392,0.03432,standing
-0.9,0.112,0,0.9,0.116619038,0,0,0.032496154,0,0,0.02112,0,standing
-0.9,0.108,0,0.9,0.111355287,0,0,0.02712932,0,0,0.01472,0,standing
-0.894,-0.262,-0.01,0.895209473,0.269443872,0.031622777,0.046518813,0.062896741,0.03,0.02632,0.05608,0.018,sitting
-0.97,-0.114,0.004,0.975602378,0.12083046,0.02,0.104403065,0.040049969,0.019595918,0.076,0.02752,0.00768,sitting
-0.936,-0.008,0.016,0.938935568,0.028284271,0.052915026,0.074188948,0.02712932,0.050438081,0.0632,0.01472,0.03696,sitting
-0.954,-0.072,0.076,0.959479025,0.087177979,0.1,0.102391406,0.049152823,0.064992307,0.08048,0.0432,0.05264,sitting
-0.946,-0.006,-0.054,0.948367018,0.024494897,0.092736185,0.066962676,0.023748684,0.075392307,0.06016,0.01128,0.06536,sitting
-0.976,0,0.002,0.976933979,0,0.014142136,0.042708313,0,0.014,0.03648,0,0.00392,sitting
-0.984,0,0.014,0.98468269,0,0.037416574,0.036660606,0,0.034698703,0.02688,0,0.02408,sitting
-0.962,0,0.084,0.963223754,0,0.091651514,0.048538644,0,0.036660606,0.04712,0,0.02688,sitting
-0.962,0,0.1,0.963223754,0,0.1,0.048538644,0,0,0.04712,0,0,sitting
-0.974,0,0.084,0.974987179,0,0.091651514,0.043863424,0,0.036660606,0.03848,0,0.02688,sitting
-0.95,-0.002,-0.004,0.95131488,0.014142136,0.02,0.05,0.014,0.019595918,0.05,0.00392,0.00768,sitting
-0.952,0,-0.014,0.953310023,0,0.037416574,0.049959984,0,0.034698703,0.04992,0,0.02408,sitting
-0.952,-0.008,-0.038,0.953310023,0.028284271,0.06164414,0.049959984,0.02712932,0.048538644,0.04992,0.01472,0.04712,sitting
-0.958,-0.01,-0.054,0.959270556,0.031622777,0.073484692,0.049355851,0.03,0.049839743,0.04872,0.018,0.04968,sitting
-0.978,-0.016,-0.046,0.978876907,0.04,0.0678233,0.04142463,0.036660606,0.049839743,0.03432,0.02688,0.04968,sitting
-0.938,0.2,0.066,0.939255024,0.2,0.081240384,0.048538644,0,0.047370877,0.04712,0,0.04488,sitting
-0.922,0.2,0.06,0.922930117,0.2,0.077459667,0.04142463,0,0.048989795,0.03432,0,0.048,sitting
-0.92,0.2,0.076,0.920869155,0.2,0.087177979,0.04,0,0.042708313,0.032,0,0.03648,sitting
-0.91,0.2,0.1,0.910494371,0.2,0.1,0.03,0,0,0.018,0,0,sitting
-0.912,0.226,0.1,0.914111591,0.230217289,0.1,0.062096699,0.043863424,0,0.04576,0.03848,0,sitting
-0.9,-0.3,-0.002,0.9,0.3,0.014142136,0,0,0.014,0,0,0.00392,sitting
-0.9,-0.3,-0.004,0.9,0.3,0.02,0,0,0.019595918,0,0,0.00768,sitting
-0.9,-0.28,-0.008,0.9,0.282842712,0.028284271,0,0.04,0.02712932,0,0.032,0.01472,sitting
-0.9,-0.282,0,0.9,0.284604989,0,0,0.038418745,0,0,0.02952,0,sitting
-0.896,-0.29,-0.002,0.896437393,0.291547595,0.014142136,0.028,0.03,0.014,0.00784,0.018,0.00392,sitting
0,0.594,0.704,0,0.595482997,0.707954801,0,0.042,0.074726167,0,0.02256,0.04656,lying
